threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit
0.01,0.2745411865130175,0.2708777920045526,0
0.0198989898989899,0.27230688054950336,0.2635136802469978,0
0.029797979797979796,0.27113959132200804,0.255999296141241,0
0.039696969696969696,0.27045453535349046,0.24832999257774482,0
0.049595959595959596,0.2699004100060026,0.240500928837987,0
0.059494949494949496,0.2690366233487273,0.23250706040560837,0
0.06939393939393938,0.2676664021904137,0.22434312812727883,0
0.07929292929292929,0.26755541477057626,0.21600364667434116,0
0.08919191919191918,0.267479893222036,0.20748289225203725,0
0.09909090909090908,0.26809951535651855,0.19877488949844377,0
0.10898989898989898,0.2674012559656773,0.18987339751010313,0
0.11888888888888888,0.26724153242278387,0.18077189492567003,0
0.12878787878787878,0.26671769748928353,0.17146356399265159,0
0.1386868686868687,0.2662627577355773,0.16194127353543092,0
0.1485858585858586,0.26526462130237827,0.15219756073515478,0
0.15848484848484848,0.26424300212510204,0.142224611623649,0
0.16838383838383839,0.26391001175277096,0.1320142401842123,0
0.1782828282828283,0.26288987768034144,0.12155786594180942,0
0.18818181818181817,0.2618448653849187,0.11084648991372648,0
0.19808080808080808,0.2616438015927788,0.09987066877901749,0
0.207979797979798,0.26245035575011094,0.08862048711090674,0
0.21787878787878787,0.26345558823689913,0.07708552750053206,0
0.22777777777777777,0.2636285337926842,0.06525483838281487,0
0.23767676767676768,0.2638974165651121,0.05311689935558759,0
0.24757575757575756,0.2642660230411871,0.040659583761124975,0
0.25747474747474747,0.2635173714029518,0.02787011827460482,0
0.2673737373737374,0.2627484887263745,0.014735039216409692,0
0.2772727272727273,0.2619585437151209,0.0012401452741606933,0
0.2871717171717172,0.2611466588962712,-0.01262955371452179,0
0.29707070707070704,0.26031190736891535,-0.02688989230685154,0
0.30696969696969695,0.2594533092740967,-0.04155760976000287,0
0.31686868686868686,0.25856982795784017,-0.05665041557938491,0
0.32676767676767676,0.25766036579567425,-0.07218706084971946,0
0.33666666666666667,0.25672375964328686,-0.08818741595300444,0
0.3465656565656566,0.2576262957245716,-0.1046725553506539,0
0.3564646464646465,0.25671451405024087,-0.12166485019045371,0
0.36636363636363634,0.2557742437407804,-0.13918806959403476,0
0.37626262626262624,0.25480412841420996,-0.15726749158921138,0
0.38616161616161615,0.25380272419443434,-0.1759300247759388,0
0.39606060606060606,0.2527684925407942,-0.19520434195741426,0
0.40595959595959596,0.2516997923606937,-0.21512102713201497,0
0.41585858585858587,0.2505948713202612,-0.23571273743098406,0
0.4257575757575757,0.24945185625627114,-0.25701438180534397,0
0.43565656565656563,0.24474761581841145,-0.2790633185185931,0
0.44555555555555554,0.24352225577916398,-0.30189957379547827,0
0.45545454545454545,0.24225234545839308,-0.3255660843189353,0
0.46535353535353535,0.24093541030806034,-0.35010896666604585,0
0.47525252525252526,0.2395687890577343,-0.3755778172403042,0
0.4851515151515151,0.23814961576403684,-0.40202604680466547,0
0.495050505050505,0.24012689861916045,-0.4295112543635486,0
0.5049494949494949,0.2387325380563323,-0.4580956459015261,0
0.5148484848484849,0.23728127666687196,-0.48784650438546345,0
0.5247474747474747,0.23576955890497076,-0.5188367185044379,0
0.5346464646464646,0.23067239993029592,-0.5511453788937225,0
0.5445454545454546,0.24165753001040172,-0.5848584521098648,0
0.5544444444444444,0.23693407326753538,-0.6200695444487372,0
0.5643434343434344,0.23567710459371113,-0.6568807698964481,0
0.5742424242424242,0.234361686131021,-0.6954037391609443,0
0.5841414141414141,0.23298364390863033,-0.7357606899595285,0
0.594040404040404,0.2315383968403604,-0.7780857826731474,0
0.6039393939393939,0.2300209058482494,-0.822526590299255,0
0.6138383838383838,0.2249044884004524,-0.8692458175682396,0
0.6237373737373737,0.22322525758578315,-0.9184232914264107,0
0.6336363636363637,0.22145528256386957,-0.9702582742110231,0
0.6435353535353535,0.21958700346026286,-1.0249721622452195,0
0.6534343434343434,0.214090869906117,-1.0828116469144209,0
0.6633333333333333,0.21199972109887044,-1.1440524334123554,0
0.6732323232323232,0.2097818751768727,-1.2090036354137184,0
0.6831313131313131,0.20797433629510567,-1.278012993485298,0
0.693030303030303,0.21377375804680007,-1.3514731031797893,0
0.702929292929293,0.20482038781481818,-1.4298288883248491,0
0.7128282828282828,0.20799666093642405,-1.5135866199660148,0
0.7227272727272727,0.21190256291849457,-1.6033248672362035,0
0.7326262626262626,0.2104920797926965,-1.6997078808324069,0
0.7425252525252525,0.20545201376955338,-1.803502063775355,0
0.7524242424242424,0.20381160894374817,-1.915596393538711,0
0.7623232323232323,0.19851343505144767,-2.0370279475407473,0
0.7722222222222221,0.1965819306080385,-2.169014084507041,0
0.7821212121212121,0.19447491625692961,-2.3129933984994806,0
0.792020202020202,0.18864620457079534,-2.470678368413491,0
0.8019191919191919,0.18610797882655444,-2.6441237942699543,0
0.8118181818181818,0.18440838266312853,-2.835816833367353,0
0.8217171717171717,0.19503850297250927,-3.0487970314806696,0
0.8316161616161616,0.19387742169875885,-3.2868186925995073,0
0.8415151515151514,0.19257129776748447,-3.554574098510757,0
0.8514141414141414,0.19109114236746105,-3.8580059555155537,0
0.8613131313131313,0.18939969020239428,-4.204753649354244,0
0.8712121212121212,0.17336371168185583,-4.604805302402651,0
0.8811111111111111,0.19718309859154928,-5.071475582466761,0
0.891010101010101,0.19014084507042253,-5.62291636752862,0
0.9009090909090909,0.18309859154929578,-6.2845328853857065,0
0.9108080808080807,0.1795774647887324,-7.0930087888599935,0
0.9207070707070707,0.176056338028169,-8.103346191800483,0
0.9306060606060605,0.1619718309859155,-9.401931238083515,0
0.9405050505050505,0.15492957746478872,-11.132643056983667,0
0.9504040404040404,0.1443661971830986,-13.554229654915222,0
0.9603030303030302,0.12323943661971831,-17.18352865283299,0
0.9702020202020202,0.09507042253521127,-23.22415851038432,0
0.98010101010101,0.05985915492957746,-35.274755129763214,0
0.99,0.01056338028169014,-71.18309859154922,0
